badminton,table_tennis,squash
lawn_bowls,shooting,athletics_medium
lawn_bowls,netball,shooting
athletics_medium,triathlon,cycling_medium
cycling_medium,athletics_medium,triathlon
lawn_bowls,shooting,table_tennis
lawn_bowls,athletics_medium,triathlon
lawn_bowls,shooting,triathlon
lawn_bowls,shooting,table_tennis
lawn_bowls,shooting,triathlon
lawn_bowls,shooting,triathlon
lawn_bowls,athletics_medium,shooting
athletics_medium,lawn_bowls,triathlon
weightlifting,table_tennis,judo
swimming_medium,athletics_throws,athletics_jumps
athletics_medium,lawn_bowls,triathlon
lawn_bowls,shooting,weightlifting
lawn_bowls,shooting,triathlon
boxing,swimming_short,swimming_medium
lawn_bowls,athletics_medium,shooting
athletics_medium,triathlon,cycling_long
rugby,cycling_long,hockey
lawn_bowls,shooting,athletics_medium
athletics_short,cycling_short,weightlifting
badminton,hockey,judo
lawn_bowls,shooting,athletics_medium
lawn_bowls,table_tennis,shooting
lawn_bowls,shooting,athletics_medium
lawn_bowls,shooting,athletics_medium
lawn_bowls,athletics_medium,triathlon
hockey,netball,rugby
lawn_bowls,athletics_medium,triathlon
table_tennis,badminton,squash
lawn_bowls,shooting,triathlon
lawn_bowls,shooting,table_tennis
lawn_bowls,shooting,athletics_medium
lawn_bowls,triathlon,athletics_medium
hockey,squash,cycling_long
lawn_bowls,athletics_medium,triathlon
lawn_bowls,shooting,table_tennis
lawn_bowls,shooting,wrestling
lawn_bowls,athletics_medium,shooting
lawn_bowls,shooting,table_tennis
lawn_bowls,cycling_short,weightlifting
lawn_bowls,triathlon,athletics_medium
lawn_bowls,shooting,table_tennis
weightlifting,athletics_medium,lawn_bowls
lawn_bowls,shooting,table_tennis
rugby,hockey,cycling_long
cycling_medium,athletics_medium,cycling_long
triathlon,athletics_medium,cycling_medium
weightlifting,athletics_short,cycling_short
rugby,hockey,netball
triathlon,athletics_medium,wrestling
lawn_bowls,shooting,athletics_medium
cycling_medium,cycling_long,athletics_medium
lawn_bowls,shooting,weightlifting
lawn_bowls,shooting,athletics_medium
badminton,hockey,netball
lawn_bowls,shooting,athletics_medium
lawn_bowls,athletics_medium,shooting
lawn_bowls,shooting,athletics_medium
rugby,hockey,squash
lawn_bowls,shooting,athletics_medium
netball,badminton,hockey
hockey,rugby,netball
badminton,table_tennis,wrestling
lawn_bowls,shooting,athletics_medium
athletics_medium,weightlifting,lawn_bowls
lawn_bowls,shooting,athletics_medium
rugby,swimming_medium,hockey
lawn_bowls,netball,shooting
cycling_short,athletics_short,weightlifting
lawn_bowls,shooting,athletics_medium
netball,hockey,badminton
netball,badminton,table_tennis
lawn_bowls,shooting,table_tennis
lawn_bowls,shooting,athletics_medium
hockey,badminton,squash
swimming_medium,wrestling,boxing
cycling_short,rugby,athletics_throws
lawn_bowls,shooting,athletics_medium
lawn_bowls,athletics_medium,triathlon
netball,hockey,athletics_throws
lawn_bowls,shooting,athletics_medium
rugby,swimming_medium,athletics_throws
hockey,netball,rugby
hockey,rugby,cycling_long
lawn_bowls,athletics_medium,triathlon
cycling_short,cycling_medium,hockey
athletics_medium,judo,wrestling
table_tennis,lawn_bowls,judo
athletics_medium,weightlifting,triathlon
lawn_bowls,shooting,table_tennis
judo,table_tennis,wrestling
athletics_medium,squash,judo
triathlon,athletics_medium,athletics_long
athletics_medium,triathlon,cycling_medium
lawn_bowls,shooting,weightlifting
athletics_medium,triathlon,athletics_jumps
table_tennis,lawn_bowls,netball
wrestling,judo,badminton
table_tennis,badminton,hockey
lawn_bowls,shooting,athletics_medium
athletics_medium,judo,triathlon
hockey,rugby,netball
cycling_medium,hockey,cycling_long
netball,table_tennis,hockey
judo,wrestling,badminton
athletics_medium,triathlon,cycling_medium
hockey,badminton,squash
athletics_medium,cycling_medium,triathlon
table_tennis,lawn_bowls,badminton
hockey,squash,rugby
hockey,badminton,netball
athletics_medium,triathlon,cycling_medium
cycling_medium,athletics_medium,cycling_long
athletics_jumps,cycling_short,wrestling
lawn_bowls,shooting,netball
hockey,netball,rugby
swimming_medium,cycling_medium,swimming_long
wrestling,table_tennis,hockey
athletics_medium,cycling_medium,lawn_bowls
lawn_bowls,shooting,athletics_medium
lawn_bowls,shooting,athletics_medium
athletics_medium,netball,wrestling
